GEOID_Data,below_pov,above_pov,white_below_pov,white_above_pov,black_below_pov,black_above_pov,other_below_pov,other_above_pov,nhisp_white_below_pov,nhisp_white_above_pov,hisp_below_pov,hisp_above_pov,nhisp_below_pov,nhisp_above_pov
14000US17031840000,0.14317099963383376,0.8568290003661663,0.06651017214397496,0.9334898278560251,0.06651017214397496,0.9334898278560251,1.262857142857143,-0.26285714285714284,0.04247460757156048,0.9575253924284395,0.09193548387096774,0.9080645161290323,0.15821885362387494,0.8417811463761251
14000US17031836400,0.33898740683628886,0.6610125931637111,0.0,1.0,0.0,1.0,0.3666944676118988,0.6333055323881012,0.0,1.0,0.0,1.0,0.365171650055371,0.634828349944629
14000US17031836100,0.4775,0.5225,0.5195530726256983,0.48044692737430167,0.5195530726256983,0.48044692737430167,0.46833130328867234,0.5316686967113277,0.14754098360655737,0.8524590163934426,0.711864406779661,0.288135593220339,0.4628055260361318,0.5371944739638682
14000US17031834600,0.5097668557025835,0.4902331442974165,0.5822222222222222,0.4177777777777778,0.5822222222222222,0.4177777777777778,0.4810905892700088,0.5189094107299912,0.2916666666666667,0.7083333333333334,0.7941176470588235,0.20588235294117646,0.4220939818631492,0.5779060181368508
14000US17031843600,0.19217418744083306,0.807825812559167,0.37410071942446044,0.6258992805755396,0.37410071942446044,0.6258992805755396,0.1746800415081287,0.8253199584918713,0.49523809523809526,0.5047619047619047,0.0,1.0,0.20266222961730448,0.7973377703826955
14000US17031061902,0.09001603849238171,0.9099839615076183,0.08125786163522013,0.9187421383647799,0.08125786163522013,0.9187421383647799,0.06650911546252532,0.9334908845374746,0.08491062039957939,0.9150893796004206,0.035842293906810034,0.96415770609319,0.09322573794860904,0.906774262051391
14000US17031030102,0.22643936957220973,0.7735606304277903,0.23376623376623376,0.7662337662337663,0.23376623376623376,0.7662337662337663,0.1661721068249258,0.8338278931750742,0.21325403568394222,0.7867459643160578,0.2709677419354839,0.7290322580645161,0.21860816944024206,0.7813918305597579
14000US17031030103,0.1327319587628866,0.8672680412371134,0.21542940320232898,0.784570596797671,0.21542940320232898,0.784570596797671,-0.5056179775280899,1.5056179775280898,0.22424242424242424,0.7757575757575758,0.0,1.0,0.14895155459146783,0.8510484454085322
14000US17031030706,0.041176470588235294,0.9588235294117647,0.03581744656268053,0.9641825534373195,0.03581744656268053,0.9641825534373195,0.016172506738544475,0.9838274932614556,0.03766707168894289,0.9623329283110571,0.0,1.0,0.042682926829268296,0.9573170731707317
14000US17031030601,0.14408185840707965,0.8559181415929203,0.07416563658838071,0.9258343634116193,0.07416563658838071,0.9258343634116193,0.7394736842105263,0.26052631578947366,0.08157715839564922,0.9184228416043508,0.13559322033898305,0.864406779661017,0.14467455621301775,0.8553254437869823
