GEOID_Data,single_family,multi_family,units_other,white_single_family,white_multi_family,white_units_other,black_single_family,black_multi_family,black_units_other,other_single_family,other_multi_family,other_units_other,nhisp_white_single_family,nhisp_white_multi_family,nhisp_white_units_other,hisp_single_family,hisp_multi_family,hisp_units_other,nhisp_single_family,nhisp_multi_family,nhisp_units_other
14000US17031740100,0.9174311926605505,0.08256880733944955,0.0,0.9213893967093236,0.07861060329067641,0.0,0.38095238095238093,0.6190476190476191,0.0,1.0,0.0,0.0,0.9324699352451434,0.06753006475485661,0.0,0.8311688311688312,0.16883116883116883,0.0,0.9233511586452763,0.0766488413547237,0.0
14000US17031740200,0.8715860086248203,0.12841399137517967,0.0,0.8822927328556807,0.11770726714431934,0.0,,,,0.7142857142857143,0.2857142857142857,0.0,0.8772678762006404,0.12273212379935966,0.0,0.7054263565891473,0.29457364341085274,0.0,0.8825331971399387,0.11746680286006128,0.0
14000US17031740300,0.8818978855079939,0.1181021144920062,0.0,0.9006849315068494,0.09931506849315068,0.0,,,,0.7058823529411765,0.29411764705882354,0.0,0.8966745843230404,0.10332541567695962,0.0,0.7417840375586855,0.25821596244131456,0.0,0.899188876013905,0.10081112398609501,0.0
14000US17031740400,0.7206585236325014,0.275092936802974,0.004248539564524694,0.806371018113679,0.18863210493441598,0.004996876951905059,0.056768558951965066,0.9432314410480349,0.0,1.0,0.0,0.0,0.8143133462282398,0.18052869116698905,0.0051579626047711154,0.7105263157894737,0.2894736842105263,0.0,0.7210846707249585,0.27448810182623135,0.004427227448810182
14000US17031320101,0.02754709337654446,0.9724529066234555,0.0,0.03904679873672122,0.9609532012632788,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.011483550589695841,0.9885164494103041,0.0,0.2296983758700696,0.7703016241299304,0.0,0.008211273857079449,0.9917887261429206,0.0
14000US17031330103,0.05869797225186766,0.9413020277481323,0.0,0.05408031088082901,0.945919689119171,0.0,0.09215017064846416,0.9078498293515358,0.0,0.0,1.0,0.0,0.05524313595765796,0.944756864042342,0.0,0.0,1.0,0.0,0.06098913284542027,0.9390108671545797,0.0
14000US17031380600,0.17737917289486796,0.8226208271051321,0.0,0.1588785046728972,0.8411214953271028,0.0,0.1712962962962963,0.8287037037037037,0.0,0.4,0.6,0.0,0.1588785046728972,0.8411214953271028,0.0,0.52,0.48,0.0,0.16862544711292796,0.8313745528870721,0.0
14000US17031330102,0.06230847803881512,0.9376915219611849,0.0,0.06167400881057269,0.9383259911894273,0.0,0.028852920478536243,0.9711470795214637,0.0,0.10973282442748092,0.8902671755725191,0.0,0.04993678887484197,0.950063211125158,0.0,0.15709969788519637,0.8429003021148036,0.0,0.05664802453545012,0.9433519754645499,0.0
14000US17031330101,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
14000US17031460800,0.23415361670395227,0.7658463832960477,0.0,0.348993288590604,0.6510067114093959,0.0,0.13988439306358383,0.8601156069364162,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.4142538975501114,0.5857461024498887,0.0,0.14349775784753363,0.8565022421524664,0.0
