GEOID_Data,same_house,moved_same_county,moved_same_state,moved_same_country,moved_from_abroad,white_same_house,white_moved_same_county,white_moved_same_state,white_moved_same_country,white_moved_from_abroad,black_same_house,black_moved_same_county,black_moved_same_state,black_moved_same_country,black_moved_from_abroad,other_same_house,other_moved_same_county,other_moved_same_state,other_moved_same_country,other_moved_from_abroad,nhisp_white_same_house,nhisp_white_moved_same_county,nhisp_white_moved_same_state,nhisp_white_moved_same_country,nhisp_white_moved_from_abroad,hisp_same_house,hisp_moved_same_county,hisp_moved_same_state,hisp_moved_same_country,hisp_moved_from_abroad,nhisp_same_house,nhisp_moved_same_county,nhisp_moved_same_state,nhisp_moved_same_country,nhisp_moved_from_abroad
14000US17031841200,0.8953621201736349,0.06397075622572539,0.0,0.040667123600639704,0.0,0.8117831074035453,0.0954118873826903,0.0,0.09280500521376434,0.0,0.7292418772563177,0.27075812274368233,0.0,0.0,0.0,0.9899175068744271,0.01008249312557287,0.0,0.0,0.0,0.6169230769230769,0.21384615384615385,0.0,0.16923076923076924,0.0,0.95717280622941,0.022461814914645103,0.0,0.020365378855944895,0.0,0.6965317919075145,0.197495183044316,0.0,0.10597302504816955,0.0
14000US17031839500,0.8303393213572854,0.10778443113772455,0.004657351962741184,0.05189620758483034,0.0053226879574184965,0.6403162055335968,0.22134387351778656,0.02766798418972332,0.11067193675889328,0.0,0.8657465495608532,0.1028858218318695,0.0,0.03136762860727729,0.0,0.8741721854304636,0.052980132450331126,0.0,0.05518763796909492,0.017660044150110375,0.6434426229508197,0.22950819672131148,0.012295081967213115,0.11475409836065574,0.0,0.9617224880382775,0.0,0.019138755980861243,0.019138755980861243,0.0,0.8091190108191654,0.125193199381762,0.00231839258114374,0.0571870170015456,0.0061823802163833074
14000US17031835800,0.7311643835616438,0.2688356164383562,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.689679218967922,0.3103207810320781,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,0.8796296296296297,0.12037037037037036,0.0,0.0,0.0,0.7102864583333334,0.2897135416666667,0.0,0.0,0.0
14000US17031838800,0.870388507998694,0.11753183153770813,0.0,0.01207966046359778,0.0,0.968421052631579,0.031578947368421054,0.0,0.0,0.0,0.7924845765563657,0.1867638810992709,0.0,0.02075154234436343,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9538950715421304,0.046104928457869634,0.0,0.0,0.0,0.8121883656509695,0.1673130193905817,0.0,0.020498614958448753,0.0
14000US17031842300,0.7278967600219659,0.20400878638110928,0.010982976386600769,0.051894563426688634,0.005216913783635365,0.7408829174664108,0.20153550863723607,0.0,0.050287907869481764,0.007293666026871401,0.6614310645724258,0.2181500872600349,0.019197207678883072,0.1012216404886562,0.0,0.7370689655172413,0.20043103448275862,0.0625,0.0,0.0,0.7207281754240794,0.21721141911460487,0.0,0.05419942076954903,0.007860984691766652,0.8432601880877743,0.13479623824451412,0.0219435736677116,0.0,0.0,0.7168221486608486,0.21065302437556424,0.009930785434848028,0.056876316581402346,0.005717724947336744
14000US17031841900,0.636852394916911,0.16014988595633756,0.10280221570544151,0.07559465623981754,0.024600847181492344,0.671264367816092,0.1396551724137931,0.12614942528735631,0.05488505747126437,0.008045977011494253,0.5188770571151985,0.3436592449177154,0.06679574056147145,0.07066795740561471,0.0,0.6381538461538462,0.08738461538461538,0.0756923076923077,0.12307692307692308,0.0756923076923077,0.6717658796142335,0.1326903890921184,0.12537412703691386,0.0608579980046558,0.009311606252078483,0.6965098634294385,0.15326251896813353,0.10318664643399089,0.03338391502276176,0.013657056145675266,0.6296769483482387,0.16097828070815842,0.10275597736813287,0.08067165541157145,0.025917138163898523
14000US17031843200,0.8696808510638298,0.07845744680851063,0.0274822695035461,0.024379432624113476,0.0,0.8775344687753447,0.04866180048661801,0.050283860502838604,0.023519870235198703,0.0,0.7788461538461539,0.07692307692307693,0.0,0.14423076923076922,0.0,0.8694232861806311,0.11860718171926006,0.0,0.011969532100108813,0.0,0.7762962962962963,0.08888888888888889,0.09185185185185185,0.04296296296296296,0.0,0.960811756473058,0.03918824352694192,0.0,0.0,0.0,0.7122128174123338,0.14631197097944376,0.07496977025392987,0.06650544135429262,0.0
14000US17031843400,0.8971792538671519,0.10282074613284804,0.0,0.0,0.0,0.9207317073170732,0.07926829268292683,0.0,0.0,0.0,0.900976290097629,0.09902370990237098,0.0,0.0,0.0,0.8669724770642202,0.13302752293577982,0.0,0.0,0.0,0.3157894736842105,0.6842105263157895,0.0,0.0,0.0,0.9201101928374655,0.07988980716253444,0.0,0.0,0.0,0.8858695652173914,0.11413043478260869,0.0,0.0,0.0
14000US17031842600,0.8996358670914884,0.09421939007737824,0.0,0.0029585798816568047,0.0031861629494765588,0.9074446680080482,0.0925553319919517,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.8841577958672511,0.09893550407013149,0.0,0.008140262993112084,0.008766437069505322,0.8940069341258049,0.10599306587419514,0.0,0.0,0.0,0.921875,0.06889204545454546,0.0,0.009232954545454546,0.0,0.8891493636972538,0.10616208975217682,0.0,0.0,0.004688546550569324
14000US17031301803,0.9569659442724459,0.04303405572755418,0.0,0.0,0.0,0.927490871152843,0.07250912884715702,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9567113048894426,0.04328869511055746,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14000US17031081300,0.763960260363138,0.12144570058239124,0.024152106885919837,0.06663240835902706,0.023809523809523808,0.7838442604609532,0.1479078093533229,0.027970463190870442,0.029536809129559187,0.01074065786529425,0.4117647058823529,0.0,0.0,0.5882352941176471,0.0,0.7817497648165569,0.045155221072436504,0.015051740357478834,0.07243650047036689,0.08560677328316087,0.7839012119826206,0.14635261833981247,0.028584495769494626,0.030185227532586324,0.010976446375485937,0.8307210031347962,0.06583072100313479,0.0,0.10344827586206896,0.0,0.7601014676571842,0.12466026454067766,0.025548106541040044,0.06450443921000182,0.025185722051096215
14000US17031081000,0.6675309369475545,0.2028285209192693,0.008014142604596347,0.09593400117855039,0.025692398350029465,0.6223118279569892,0.22916666666666666,0.009744623655913979,0.12869623655913978,0.010080645161290322,0.8943798449612403,0.10077519379844961,0.0,0.0048449612403100775,0.0,0.6908727514990006,0.16855429713524317,0.006662225183211193,0.028647568287808126,0.10526315789473684,0.6336545324768023,0.22430406852248394,0.009100642398286937,0.1270521056388294,0.005888650963597431,0.6846153846153846,0.1646153846153846,0.010769230769230769,0.09846153846153846,0.04153846153846154,0.6661135928525845,0.20599872367581365,0.00778557753669432,0.09572431397574985,0.024377791959157628
14000US17031130100,0.9647107955731885,0.026310294424723324,0.0,0.006264355815410315,0.002714554186677803,0.9802197802197802,0.01978021978021978,0.0,0.0,0.0,0.5462962962962963,0.4537037037037037,0.0,0.0,0.0,0.9618983957219251,0.009358288770053475,0.0,0.020053475935828877,0.008689839572192513,0.9771075581395349,0.022892441860465115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9610149942329873,0.02906574394463668,0.0,0.006920415224913495,0.0029988465974625142
14000US17031170200,0.8841017888636936,0.09901738473167045,0.013353489543965735,0.003527336860670194,0.0,0.9064327485380117,0.08810916179337232,0.0,0.005458089668615985,0.0,0.0,1.0,0.0,0.0,0.0,0.8457142857142858,0.11642857142857142,0.03785714285714286,0.0,0.0,0.9705251875669882,0.02197213290460879,0.0,0.007502679528403001,0.0,0.7840603123317178,0.18739903069466882,0.028540656973613354,0.0,0.0,0.9720643939393939,0.02130681818181818,0.0,0.006628787878787879,0.0
14000US17031170300,0.9597160943794361,0.005563015538077882,0.031076155764435065,0.0,0.0036447343180510262,0.9482333607230896,0.005204053683922213,0.04437140509449466,0.0,0.0021911804984935633,0.9285714285714286,0.07142857142857142,0.0,0.0,0.0,0.9870801033591732,0.005813953488372093,0.0,0.0,0.0071059431524547806,0.9905228758169935,0.006209150326797385,0.00065359477124183,0.0,0.00261437908496732,0.9061032863849765,0.004694835680751174,0.08346374543557643,0.0,0.005738132498695879,0.9908980582524272,0.006067961165048544,0.0006067961165048543,0.0,0.0024271844660194173
14000US17031170400,0.9111675126903553,0.08883248730964467,0.0,0.0,0.0,0.9563218390804598,0.04367816091954023,0.0,0.0,0.0,0.9414634146341463,0.05853658536585366,0.0,0.0,0.0,0.7785977859778598,0.22140221402214022,0.0,0.0,0.0,0.9703480876665235,0.02965191233347658,0.0,0.0,0.0,0.8165443629086058,0.18345563709139426,0.0,0.0,0.0,0.9611992945326279,0.03880070546737213,0.0,0.0,0.0
14000US17031170500,0.9224924012158054,0.07256838905775076,0.0,0.004939209726443769,0.0,0.9432624113475178,0.05037906578625581,0.0,0.006358522866226461,0.0,0.8048780487804879,0.1951219512195122,0.0,0.0,0.0,0.8536139066788655,0.1463860933211345,0.0,0.0,0.0,0.9442832269297736,0.05165409170052235,0.0,0.004062681369704005,0.0,0.9348171701112877,0.05564387917329094,0.0,0.009538950715421303,0.0,0.9186220668996505,0.07788317523714429,0.0,0.003494757863205192,0.0
14000US17031170600,0.9176220806794055,0.07643312101910828,0.0,0.0008492569002123143,0.005095541401273885,0.9092391304347827,0.0907608695652174,0.0,0.0,0.0,0.9428571428571428,0.0,0.0,0.05714285714285714,0.0,0.9479166666666666,0.027083333333333334,0.0,0.0,0.025,0.9055313859540087,0.0944686140459913,0.0,0.0,0.0,0.9490566037735849,0.02830188679245283,0.0,0.0,0.022641509433962263,0.9084931506849315,0.09041095890410959,0.0,0.001095890410958904,0.0
14000US17031170700,0.9684305472038485,0.03156945279615153,0.0,0.0,0.0,0.9713207547169811,0.028679245283018868,0.0,0.0,0.0,,,,,,0.9571005917159763,0.042899408284023666,0.0,0.0,0.0,0.9814298978644382,0.018570102135561744,0.0,0.0,0.0,0.9353233830845771,0.06467661691542288,0.0,0.0,0.0,0.98276604911676,0.017233950883239983,0.0,0.0,0.0
14000US17031170800,0.9149987645169261,0.07981220657276995,0.0,0.005189028910303929,0.0,0.9297124600638977,0.06744763933262336,0.0,0.0028399006034788782,0.0,0.946524064171123,0.01871657754010695,0.0,0.034759358288770054,0.0,0.852803738317757,0.14719626168224298,0.0,0.0,0.0,0.9385650224215246,0.05784753363228699,0.0,0.003587443946188341,0.0,0.8588567395906845,0.13196894848270996,0.0,0.009174311926605505,0.0,0.9452471482889734,0.05171102661596958,0.0,0.003041825095057034,0.0
