GEOID_Data,white,black,race_other,hisp,nhisp
14000US17031520300,0.553336746885134,0.0,0.44666325311486604,0.8934971838197645,0.10650281618023553
14000US17031520400,0.6524453694068678,0.003537981269510926,0.34401664932362125,0.9194588969823101,0.08054110301768991
14000US17031520500,0.5809270516717325,0.01614741641337386,0.4029255319148936,0.7942629179331308,0.2057370820668693
14000US17031520600,0.5570621468926553,0.04406779661016949,0.39887005649717516,0.9163841807909604,0.08361581920903954
14000US17031660500,0.5153528872593951,0.03620531622364803,0.4484417965169569,0.9069660861594867,0.0930339138405133
14000US17031660600,0.2804785415875427,0.43638435244967716,0.2831371059627801,0.5577288264337258,0.4422711735662742
14000US17031660700,0.029431000654022238,0.8992805755395683,0.07128842380640942,0.10333551340745585,0.8966644865925442
14000US17031660800,0.21595670391061453,0.496159217877095,0.2878840782122905,0.4647346368715084,0.5352653631284916
14000US17031660900,0.1604014957685495,0.7592993505215508,0.08029915370989962,0.2074394804172407,0.7925605195827593
14000US17031661000,0.061872309899569586,0.6705523672883787,0.26757532281205165,0.25968436154949787,0.7403156384505022
14000US17031151100,0.5826148161182474,0.010381840577159952,0.40700334330459265,0.6074256554636636,0.39257434453633644
14000US17031151200,0.6605764282038086,0.003088008234688626,0.33633556356150285,0.43360782295419453,0.5663921770458055
14000US17031241500,0.8138528138528138,0.013708513708513708,0.17243867243867245,0.12842712842712842,0.8715728715728716
14000US17031241100,0.6771397616468039,0.11348862405200433,0.20937161430119178,0.32096424702058507,0.679035752979415
14000US17031241600,0.8055077452667814,0.014056224899598393,0.1804360298336202,0.1844520940906483,0.8155479059093517
14000US17031241300,0.7693084300858153,0.08531044926804644,0.1453811206461383,0.15244825845532559,0.8475517415446744
14000US17031241400,0.7913405495420482,0.07860116569525395,0.13005828476269776,0.09208992506244797,0.907910074937552
14000US17031243500,0.6428243924805135,0.17125171939477304,0.18592388812471344,0.12058688674919761,0.8794131132508024
14000US17031250200,0.23814011938422872,0.5032987747408105,0.25856110587496073,0.49261702796104306,0.507382972038957
14000US17031250300,0.11344455348380765,0.6665358194308145,0.2200196270853778,0.2683022571148185,0.7316977428851815
14000US17031250400,0.1448692152917505,0.745747210535943,0.10938357417230657,0.22114505213096763,0.7788549478690324
14000US17031250500,0.4838709677419355,0.2454288687379218,0.2707001635201427,0.34250037163668795,0.657499628363312
14000US17031071500,0.8628477905073649,0.0220949263502455,0.11505728314238953,0.03387888707037643,0.9661211129296235
14000US17031071800,0.7896075581395349,0.0962936046511628,0.11409883720930232,0.07776162790697674,0.9222383720930233
14000US17031080100,0.8746732500726111,0.005954109787975602,0.1193726401394133,0.02831832704037177,0.9716816729596283
14000US17031080300,0.7979274611398963,0.00657632522917497,0.19549621363092864,0.022319649262654444,0.9776803507373456
