GEOID_Data,owner,renter,white_owner,white_renter,black_owner,black_renter,other_owner,other_renter,nhisp_white_owner,nhisp_white_renter,hisp_owner,hisp_renter,nhisp_owner,nhisp_renter
14000US17031010202,0.23905996758508913,0.7609400324149108,0.3752969121140142,0.6247030878859857,0.19421487603305784,0.8057851239669421,0.13069908814589665,0.8693009118541033,0.35,0.65,0.37962962962962965,0.6203703703703703,0.20923379174852652,0.7907662082514735
14000US17031570100,0.7645739910313901,0.23542600896860988,0.6651376146788991,0.3348623853211009,,,0.8596491228070176,0.14035087719298245,0.8909090909090909,0.10909090909090909,0.6736842105263158,0.3263157894736842,0.9254658385093167,0.07453416149068323
14000US17031570200,0.6177184466019418,0.38228155339805825,0.7458100558659218,0.2541899441340782,,,0.51931330472103,0.48068669527896996,0.7216494845360825,0.27835051546391754,0.5599284436493739,0.4400715563506261,0.7396226415094339,0.26037735849056604
14000US17031570300,0.7082621082621082,0.2917378917378917,0.746309963099631,0.253690036900369,0.0,1.0,0.678125,0.321875,0.7743682310469314,0.22563176895306858,0.6636029411764706,0.33639705882352944,0.7811094452773614,0.21889055472263869
14000US17031570400,0.4863013698630137,0.5136986301369864,0.5718157181571816,0.4281842818428184,,,0.3395348837209302,0.6604651162790698,0.5833333333333334,0.4166666666666667,0.4084507042253521,0.5915492957746479,0.6069868995633187,0.3930131004366812
14000US17031570500,0.626984126984127,0.373015873015873,0.5655913978494623,0.4344086021505376,,,0.7250859106529209,0.27491408934707906,0.5707317073170731,0.4292682926829268,0.616600790513834,0.383399209486166,0.648,0.352
14000US17031690400,0.25521557719054244,0.7447844228094576,,,0.25863284002818887,0.7413671599718111,0.0,1.0,,,,,0.25521557719054244,0.7447844228094576
14000US17031691300,0.431858407079646,0.5681415929203539,,,0.3931947069943289,0.6068052930056711,1.0,0.0,,,1.0,0.0,0.41847826086956524,0.5815217391304348
14000US17031691400,0.4637795275590551,0.5362204724409448,,,0.4553049289891395,0.5446950710108605,0.6027397260273972,0.3972602739726027,,,0.0,1.0,0.47461724415793716,0.5253827558420628
14000US17031691500,0.2850678733031674,0.7149321266968326,0.32558139534883723,0.6744186046511628,0.2857142857142857,0.7142857142857143,0.0,1.0,0.32558139534883723,0.6744186046511628,0.0,1.0,0.2899884925201381,0.7100115074798619
14000US17031320400,0.6235446313065977,0.37645536869340235,0.6900584795321637,0.30994152046783624,0.2,0.8,0.6,0.4,0.68389662027833,0.31610337972166996,0.6052631578947368,0.39473684210526316,0.6244897959183674,0.37551020408163266
14000US17031580100,0.6113490364025695,0.3886509635974304,0.4906832298136646,0.5093167701863354,0.0,1.0,0.7361853832442068,0.2638146167557932,0.9008264462809917,0.09917355371900827,0.5032822757111597,0.49671772428884026,0.7148846960167715,0.2851153039832285
14000US17031580200,0.5011820330969267,0.4988179669030733,0.42120343839541546,0.5787965616045845,,,0.5573440643863179,0.4426559356136821,0.9,0.1,0.4104372355430183,0.5895627644569816,0.9708029197080292,0.029197080291970802
14000US17031580300,0.604,0.396,0.6175115207373272,0.3824884792626728,0.0,1.0,0.6491228070175439,0.3508771929824561,0.6351351351351351,0.36486486486486486,0.6048237476808905,0.39517625231910947,0.6018957345971564,0.3981042654028436
14000US17031580400,0.6072874493927125,0.39271255060728744,0.5652173913043478,0.43478260869565216,1.0,0.0,0.637997432605905,0.362002567394095,0.8412698412698413,0.15873015873015872,0.4972677595628415,0.5027322404371585,0.921875,0.078125
14000US17031580600,0.5192186515437933,0.4807813484562067,0.4013605442176871,0.5986394557823129,0.34615384615384615,0.6538461538461539,0.63875,0.36125,0.4755244755244755,0.5244755244755245,0.4825949367088608,0.5174050632911392,0.6625386996904025,0.33746130030959753
14000US17031580700,0.5038945476333133,0.49610545236668663,0.6638477801268499,0.3361522198731501,0.0,1.0,0.4635004397537379,0.5364995602462621,0.6704545454545454,0.32954545454545453,0.46258503401360546,0.5374149659863946,0.661849710982659,0.33815028901734107
