GEOID_Data,married_couple_family,family_other,nonfamily,white_married_couple_family,white_family_other,white_nonfamily,black_married_couple_family,black_family_other,black_nonfamily,other_married_couple_family,other_family_other,other_nonfamily,nhisp_white_married_couple_family,nhisp_white_family_other,nhisp_white_nonfamily,hisp_married_couple_family,hisp_family_other,hisp_nonfamily,nhisp_married_couple_family,nhisp_family_other,nhisp_nonfamily
14000US17031280800,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.140625,0.0,0.859375,0.08532423208191127,0.4641638225255973,0.45051194539249145,0.0,0.0,1.0,0.16216216216216217,0.0,0.8378378378378378,0.1111111111111111,0.0,0.8888888888888888,0.0893371757925072,0.3919308357348703,0.5187319884726225
14000US17031420300,0.18759231905465287,0.18463810930576072,0.6277695716395865,0.14383561643835616,0.0,0.8561643835616438,0.1159090909090909,0.275,0.6090909090909091,0.6043956043956044,0.04395604395604396,0.3516483516483517,0.1510791366906475,0.0,0.8489208633093526,0.0,0.0,1.0,0.19184290030211482,0.18882175226586104,0.6193353474320241
14000US17031100200,0.4848167539267016,0.1574171029668412,0.35776614310645727,0.4679461004491629,0.12168231931400572,0.41037158023683135,0.20238095238095238,0.7976190476190477,0.0,0.6807228915662651,0.25903614457831325,0.060240963855421686,0.47058823529411764,0.10077854671280277,0.4286332179930796,0.6055979643765903,0.30788804071246817,0.08651399491094147,0.46561488673139156,0.13349514563106796,0.4008899676375405
14000US17031020200,0.7108492881688758,0.13205694648993618,0.15709376534118802,0.7757390417940877,0.03771661569826707,0.18654434250764526,0.5773584905660377,0.15849056603773584,0.2641509433962264,0.6750948166877371,0.2402022756005057,0.08470290771175727,0.7771797631862217,0.02583423035522067,0.1969860064585576,0.6955503512880562,0.3044496487119438,0.0,0.7149068322981367,0.08633540372670807,0.19875776397515527
14000US17031130200,0.3748251748251748,0.13426573426573427,0.4909090909090909,0.42725173210161665,0.16166281755196305,0.4110854503464203,,,,0.29432624113475175,0.09219858156028368,0.6134751773049646,0.4155844155844156,0.16883116883116883,0.4155844155844156,0.21348314606741572,0.0749063670411985,0.7116104868913857,0.47098214285714285,0.16964285714285715,0.359375
14000US17031020400,0.39707602339181286,0.20584795321637428,0.39707602339181286,0.45089285714285715,0.12388392857142858,0.4252232142857143,0.47266881028938906,0.05787781350482315,0.4694533762057878,0.2544731610337972,0.4433399602385686,0.30218687872763417,0.4537275064267352,0.06940874035989718,0.4768637532133676,0.18811881188118812,0.7227722772277227,0.0891089108910891,0.46171516079632463,0.045941807044410414,0.49234303215926495
14000US17031080202,0.23494216194654965,0.035500598324690866,0.7295572397287595,0.24205816554809845,0.03982102908277405,0.7181208053691275,0.0,0.0,1.0,0.1951219512195122,0.0,0.8048780487804879,0.2533957845433255,0.041686182669789226,0.7049180327868853,0.0,0.0,1.0,0.25822007891275756,0.039017974572555895,0.7027619465146865
14000US17031240200,0.4248447204968944,0.009937888198757764,0.5652173913043478,0.4168012924071082,0.012924071082390954,0.5702746365105008,0.7,0.0,0.3,0.42168674698795183,0.0,0.5783132530120482,0.4235500878734622,0.008787346221441126,0.5676625659050967,0.4897959183673469,0.02040816326530612,0.4897959183673469,0.41033434650455924,0.007598784194528876,0.5820668693009119
14000US17031611800,0.43655589123867067,0.12084592145015106,0.4425981873111782,1.0,0.0,0.0,0.2709677419354839,0.15268817204301074,0.5763440860215053,0.6851851851851852,0.08333333333333333,0.23148148148148148,,,,0.826530612244898,0.04591836734693878,0.12755102040816327,0.27253218884120173,0.15236051502145923,0.575107296137339
14000US17031060200,0.2997275204359673,0.051771117166212535,0.6485013623978202,0.3216931216931217,0.01798941798941799,0.6603174603174603,0.0,0.0,1.0,0.21138211382113822,0.3252032520325203,0.4634146341463415,0.3381535038932147,0.018909899888765295,0.64293659621802,0.16666666666666666,0.28431372549019607,0.5490196078431373,0.3133133133133133,0.028028028028028028,0.6586586586586587
14000US17031221200,0.29200652528548127,0.16150081566068517,0.5464926590538336,0.3016759776536313,0.07932960893854749,0.6189944134078212,0.0,1.0,0.0,0.3682008368200837,0.14644351464435146,0.48535564853556484,0.3090418353576248,0.05668016194331984,0.6342780026990553,0.2757201646090535,0.2222222222222222,0.5020576131687243,0.2960325534079349,0.14649033570701933,0.5574771108850458
14000US17031061200,0.3313032886723508,0.06699147381242387,0.6017052375152253,0.2978723404255319,0.06808510638297872,0.6340425531914894,0.0,0.5384615384615384,0.46153846153846156,0.6019417475728155,0.0,0.39805825242718446,0.3234375,0.040625,0.6359375,0.39285714285714285,0.19642857142857142,0.4107142857142857,0.3215796897038082,0.0465444287729196,0.6318758815232722
14000US17031030200,0.3580392156862745,0.04745098039215686,0.5945098039215686,0.3803863298662704,0.05250123823675087,0.5671124318969787,0.1724137931034483,0.1724137931034483,0.6551724137931034,0.2927927927927928,0.0,0.7072072072072072,0.393717277486911,0.048167539267015703,0.5581151832460733,0.25870646766169153,0.03482587064676617,0.7064676616915423,0.37662942271880817,0.04981378026070764,0.5735567970204841
14000US17031030300,0.3636972538513061,0.2156731413261889,0.420629604822505,0.3442622950819672,0.1053864168618267,0.550351288056206,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.4369114877589454,0.2297551789077213,0.33476394849785407,0.07868383404864092,0.586552217453505,0.21921921921921922,0.5315315315315315,0.24924924924924924,0.4051724137931034,0.125,0.4698275862068966
