GEOID_Data,car,pub_trans,means_other,white_car,white_pub_trans,white_means_other,black_car,black_pub_trans,black_means_other,other_car,other_pub_trans,other_means_other,nhisp_white_car,nhisp_white_pub_trans,nhisp_white_means_other,hisp_car,hisp_pub_trans,hisp_means_other,nhisp_car,nhisp_pub_trans,nhisp_means_other
14000US17031711400,0.727710843373494,0.20963855421686747,0.06265060240963856,0.0,0.0,1.0,0.711168164313222,0.2233632862644416,0.06546854942233633,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7080103359173127,0.2248062015503876,0.06718346253229975
14000US17031270500,0.7802547770700637,0.17834394904458598,0.041401273885350316,1.0,0.0,0.0,0.7684563758389261,0.18791946308724833,0.0436241610738255,,,,1.0,0.0,0.0,,,,0.7802547770700637,0.17834394904458598,0.041401273885350316
14000US17031271200,0.6970509383378016,0.2680965147453083,0.03485254691689008,1.0,0.0,0.0,0.635483870967742,0.3225806451612903,0.041935483870967745,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.6970509383378016,0.2680965147453083,0.03485254691689008
14000US17031271300,0.693069306930693,0.12376237623762376,0.18316831683168316,1.0,0.0,0.0,0.5929824561403508,0.14736842105263157,0.2596491228070175,0.9279279279279279,0.07207207207207207,0.0,1.0,0.0,0.0,0.7647058823529411,0.23529411764705882,0.0,0.6864864864864865,0.11351351351351352,0.2
14000US17031271400,0.4530386740331492,0.3342541436464088,0.212707182320442,0.6153846153846154,0.0,0.38461538461538464,0.4354243542435424,0.3800738007380074,0.18450184501845018,0.4230769230769231,0.34615384615384615,0.23076923076923078,0.6153846153846154,0.0,0.38461538461538464,1.0,0.0,0.0,0.41420118343195267,0.35798816568047337,0.22781065088757396
14000US17031350100,0.46892265193370164,0.31422651933701656,0.21685082872928177,0.31645569620253167,0.4810126582278481,0.20253164556962025,0.5991983967935872,0.16032064128256512,0.24048096192384769,0.41719342604298354,0.3780025284450063,0.20480404551201012,0.17557251908396945,0.5801526717557252,0.24427480916030533,1.0,0.0,0.0,0.45883180858550315,0.32019704433497537,0.22097114707952145
14000US17031350400,0.4714003944773176,0.3076923076923077,0.22090729783037474,,,,0.4714003944773176,0.3076923076923077,0.22090729783037474,,,,,,,,,,0.4714003944773176,0.3076923076923077,0.22090729783037474
14000US17031351000,0.4887133182844244,0.3098194130925508,0.20146726862302483,0.35714285714285715,0.0,0.6428571428571429,0.5516449885233359,0.3703136954858455,0.07804131599081866,0.30183727034120733,0.17060367454068243,0.5275590551181102,0.0,0.0,1.0,0.43,0.0,0.57,0.4922248803827751,0.3283492822966507,0.17942583732057416
14000US17031351400,0.23427331887201736,0.5075921908893709,0.25813449023861174,0.48484848484848486,0.21212121212121213,0.30303030303030304,0.15895953757225434,0.6184971098265896,0.22254335260115607,0.45121951219512196,0.15853658536585366,0.3902439024390244,0.48484848484848486,0.21212121212121213,0.30303030303030304,0.3111111111111111,0.28888888888888886,0.4,0.22596153846153846,0.53125,0.24278846153846154
14000US17031360200,0.5523255813953488,0.3798449612403101,0.06782945736434108,0.68,0.0,0.32,0.5204301075268817,0.421505376344086,0.05806451612903226,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5370741482965932,0.3927855711422846,0.07014028056112225
14000US17031430400,0.58671875,0.3234375,0.08984375,0.2702702702702703,0.7297297297297297,0.0,0.5936952714535902,0.30560420315236425,0.10070052539404553,0.6237623762376238,0.37623762376237624,0.0,0.2702702702702703,0.7297297297297297,0.0,0.56,0.44,0.0,0.5872509960159362,0.3211155378486056,0.09163346613545817
14000US17031430600,0.4500548847420417,0.4226125137211855,0.12733260153677278,0.625,0.28125,0.09375,0.4767726161369193,0.39853300733496333,0.12469437652811736,0.0,0.819672131147541,0.18032786885245902,0.7692307692307693,0.0,0.23076923076923078,0.3333333333333333,0.3,0.36666666666666664,0.4540295119182747,0.4267877412031782,0.1191827468785471
14000US17031430800,0.6189495365602472,0.28321318228630277,0.09783728115345006,1.0,0.0,0.0,0.616580310880829,0.2849740932642487,0.09844559585492228,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.6332982086406744,0.2665964172813488,0.10010537407797682
14000US17031430500,0.4112956810631229,0.4750830564784053,0.11362126245847176,0.3695652173913043,0.6086956521739131,0.021739130434782608,0.4126113776559287,0.4708704592186429,0.11651816312542837,,,,0.21621621621621623,0.7567567567567568,0.02702702702702703,1.0,0.0,0.0,0.4077540106951872,0.47794117647058826,0.1143048128342246
14000US17031430900,0.6451612903225806,0.2664796633941094,0.08835904628330996,0.0,0.0,1.0,0.6705539358600583,0.239067055393586,0.09037900874635568,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.6451612903225806,0.2664796633941094,0.08835904628330996
14000US17031610300,0.6632788334069819,0.1303579319487406,0.2063632346442775,0.6743383199079401,0.15304948216340622,0.17261219792865362,0.685,0.17,0.145,0.6515912897822446,0.10720268006700168,0.24120603015075376,0.37735849056603776,0.22641509433962265,0.39622641509433965,0.6432598667350077,0.1389031266017427,0.21783700666324962,0.7884615384615384,0.07692307692307693,0.1346153846153846
14000US17031681000,0.3844731977818854,0.5046210720887245,0.11090573012939002,1.0,0.0,0.0,0.34949494949494947,0.5292929292929293,0.12121212121212122,0.6764705882352942,0.3235294117647059,0.0,,,,1.0,0.0,0.0,0.3705103969754253,0.5160680529300568,0.11342155009451796
14000US17031681100,0.4525043177892919,0.38860103626943004,0.15889464594127806,,,,0.4532871972318339,0.3892733564013841,0.157439446366782,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.4532871972318339,0.3892733564013841,0.157439446366782
14000US17031680500,0.6596558317399618,0.15487571701720843,0.18546845124282982,1.0,0.0,0.0,0.5447570332480819,0.2071611253196931,0.24808184143222506,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5741626794258373,0.1937799043062201,0.23205741626794257
