GEOID_Data,one_or_less,more_than_one,white_one_or_less,white_more_than_one,black_one_or_less,black_more_than_one,other_one_or_less,other_more_than_one,nhisp_white_one_or_less,nhisp_white_more_than_one,hisp_one_or_less,hisp_more_than_one,nhisp_one_or_less,nhisp_more_than_one
14000US17031220901,0.9753320683111955,0.024667931688804556,0.9686520376175548,0.03134796238244514,1.0,0.0,0.9777777777777777,0.022222222222222223,1.0,0.0,0.9591836734693877,0.04081632653061224,1.0,0.0
14000US17031210602,0.9647606382978723,0.03523936170212766,0.97953216374269,0.02046783625730994,1.0,0.0,0.9295154185022027,0.07048458149779736,1.0,0.0,0.9185867895545314,0.08141321044546851,1.0,0.0
14000US17031220602,0.9490373725934315,0.05096262740656852,0.9821525148729042,0.017847485127095726,0.7619047619047619,0.23809523809523808,0.9067103109656302,0.09328968903436989,0.9806451612903225,0.01935483870967742,0.8932584269662921,0.10674157303370786,0.9631205673758865,0.03687943262411347
14000US17031220601,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031040401,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031252202,0.9615832363213038,0.03841676367869616,,,0.9603841536614646,0.03961584633853541,1.0,0.0,,,1.0,0.0,0.960969840331165,0.03903015966883501
14000US17031252102,0.9315068493150684,0.0684931506849315,1.0,0.0,0.9463262115685253,0.053673788431474724,0.8104838709677419,0.18951612903225806,1.0,0.0,1.0,0.0,0.9258893280632411,0.0741106719367589
14000US17031836300,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031834500,0.966804979253112,0.03319502074688797,1.0,0.0,0.9647577092511013,0.03524229074889868,1.0,0.0,1.0,0.0,,,0.966804979253112,0.03319502074688797
14000US17031836000,0.9859550561797753,0.014044943820224719,1.0,0.0,0.984552008238929,0.015447991761071062,1.0,0.0,1.0,0.0,1.0,0.0,0.9858490566037735,0.014150943396226415
14000US17031836200,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031834400,0.9815400843881856,0.018459915611814346,1.0,0.0,0.9791418355184743,0.020858164481525627,1.0,0.0,1.0,0.0,1.0,0.0,0.9813532232285562,0.018646776771443795
14000US17031834300,0.982529434105583,0.017470565894417017,1.0,0.0,0.9800173761946134,0.01998262380538662,1.0,0.0,1.0,0.0,1.0,0.0,0.9823889739663093,0.01761102603369066
14000US17031070101,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031110501,0.9691261119832548,0.03087388801674516,0.9861818181818182,0.013818181818181818,1.0,0.0,0.8901098901098901,0.10989010989010989,0.993006993006993,0.006993006993006993,0.9668674698795181,0.03313253012048193,0.9696010132995567,0.030398986700443317
14000US17031030104,0.9493414387031408,0.05065856129685917,0.9328125,0.0671875,1.0,0.0,0.9752650176678446,0.024734982332155476,0.9276094276094277,0.0723905723905724,0.9573170731707317,0.042682926829268296,0.9477521263669502,0.05224787363304982
14000US17031081401,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031430102,0.9681423251965247,0.031857674803475386,1.0,0.0,0.9662280701754385,0.033771929824561404,1.0,0.0,1.0,0.0,1.0,0.0,0.9675379426644182,0.03246205733558179
