GEOID_Data,below_45000,45000_to_100000,above_100000,white_below_45000,white_45000_to_100000,white_above_100000,black_below_45000,black_45000_to_100000,black_above_100000,other_below_45000,other_45000_to_100000,other_above_100000,nhisp_white_below_45000,nhisp_white_45000_to_100000,nhisp_white_above_100000,hisp_below_45000,hisp_45000_to_100000,hisp_above_100000,nhisp_below_45000,nhisp_45000_to_100000,nhisp_above_100000
14000US17031711100,0.4727272727272727,0.306951871657754,0.22032085561497325,0.36,0.64,0.0,0.47058823529411764,0.30077691453940064,0.2286348501664817,1.0,0.0,0.0,,,,0.36,0.64,0.0,0.4758241758241758,0.2978021978021978,0.22637362637362637
14000US17031711200,0.3929784824462061,0.30067950169875424,0.3063420158550396,0.0,1.0,0.0,0.4127272727272727,0.30727272727272725,0.28,0.12037037037037036,0.14814814814814814,0.7314814814814815,0.0,1.0,0.0,0.0,0.05333333333333334,0.9466666666666667,0.410408042578356,0.3116499112950917,0.2779420461265523
14000US17031711500,0.45579793340987373,0.3605051664753157,0.18369690011481057,1.0,0.0,0.0,0.4513888888888889,0.36342592592592593,0.18518518518518517,,,,,,,1.0,0.0,0.0,0.4513888888888889,0.36342592592592593,0.18518518518518517
14000US17031711300,0.4505169867060561,0.33677991137370755,0.21270310192023634,1.0,0.0,0.0,0.4505327245053272,0.3302891933028919,0.2191780821917808,0.0,1.0,0.0,1.0,0.0,0.0,,,,0.4505169867060561,0.33677991137370755,0.21270310192023634
14000US17031711400,0.54,0.3552941176470588,0.10470588235294118,,,,0.5611246943765281,0.34596577017114916,0.09290953545232274,0.0,0.59375,0.40625,,,,0.0,0.65,0.35,0.553012048192771,0.3481927710843373,0.09879518072289156
14000US17031270500,0.7225042301184433,0.2639593908629442,0.01353637901861252,0.5294117647058824,0.0,0.47058823529411764,0.7282229965156795,0.27177700348432055,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.718213058419244,0.26804123711340205,0.013745704467353952
14000US17031271200,0.6213333333333333,0.21066666666666667,0.168,0.6842105263157895,0.3157894736842105,0.0,0.6853582554517134,0.18691588785046728,0.1277258566978193,0.0,0.37142857142857144,0.6285714285714286,0.6842105263157895,0.3157894736842105,0.0,,,,0.6213333333333333,0.21066666666666667,0.168
14000US17031271300,0.6326530612244898,0.2915451895043732,0.07580174927113703,,,,0.7014388489208633,0.20503597122302158,0.09352517985611511,0.3384615384615385,0.6615384615384615,0.0,,,,0.0,1.0,0.0,0.6845425867507886,0.2334384858044164,0.08201892744479496
14000US17031271400,0.7186311787072244,0.11977186311787072,0.16159695817490494,0.0,0.20689655172413793,0.7931034482758621,0.7741935483870968,0.1053763440860215,0.12043010752688173,0.5625,0.25,0.1875,0.0,0.20689655172413793,0.7931034482758621,1.0,0.0,0.0,0.7051792828685259,0.1254980079681275,0.1693227091633466
14000US17031350100,0.38307794803464357,0.42571618920719523,0.19120586275816123,0.3360655737704918,0.20491803278688525,0.45901639344262296,0.47023809523809523,0.42857142857142855,0.10119047619047619,0.30834512022630833,0.4611032531824611,0.23055162659123055,0.3761467889908257,0.11009174311926606,0.5137614678899083,0.0,1.0,0.0,0.3864247311827957,0.4206989247311828,0.1928763440860215
14000US17031350400,0.771509167842031,0.14809590973201692,0.08039492242595205,1.0,0.0,0.0,0.7652173913043478,0.15217391304347827,0.08260869565217391,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7679083094555874,0.1504297994269341,0.08166189111747851
14000US17031351000,0.41472868217054265,0.4427217915590009,0.1425495262704565,0.6904761904761905,0.30952380952380953,0.0,0.3323975294778215,0.5036496350364964,0.1639528354856822,0.6849015317286652,0.22975929978118162,0.08533916849015317,0.5185185185185185,0.48148148148148145,0.0,0.8169014084507042,0.18309859154929578,0.0,0.4020435362061306,0.4509107063527321,0.14704575744113726
14000US17031351400,0.7616279069767442,0.1872093023255814,0.05116279069767442,0.6153846153846154,0.38461538461538464,0.0,0.7886075949367088,0.15569620253164557,0.05569620253164557,0.36363636363636365,0.6363636363636364,0.0,0.6153846153846154,0.38461538461538464,0.0,0.375,0.5,0.125,0.7765700483091788,0.1751207729468599,0.04830917874396135
14000US17031360200,0.7103174603174603,0.2208994708994709,0.06878306878306878,0.0,0.32,0.68,0.7427385892116183,0.21991701244813278,0.03734439834024896,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7266576454668471,0.2259810554803789,0.04736129905277402
14000US17031430400,0.5632958801498127,0.3453183520599251,0.09138576779026217,1.0,0.0,0.0,0.5823223570190641,0.35268630849220106,0.06499133448873484,0.15833333333333333,0.45,0.39166666666666666,1.0,0.0,0.0,1.0,0.0,0.0,0.555978674790556,0.3511043412033511,0.09291698400609291
14000US17031430600,0.46650426309378806,0.2496954933008526,0.2838002436053593,0.0,0.47368421052631576,0.5263157894736842,0.5099866844207723,0.24633821571238348,0.2436750998668442,0.0,0.21568627450980393,0.7843137254901961,,,,0.0,0.6666666666666666,0.3333333333333333,0.48419721871049304,0.23388116308470291,0.28192161820480405
14000US17031430800,0.5636588380716935,0.28182941903584674,0.15451174289245984,0.0,0.0,1.0,0.5678704856787049,0.28393524283935245,0.14819427148194272,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.579415501905972,0.289707750952986,0.13087674714104194
14000US17031430500,0.692101020956475,0.21440085975282105,0.09349811929070392,0.28,0.56,0.16,0.7034787410270569,0.2048591938155715,0.09166206515737162,,,,0.28,0.56,0.16,,,,0.692101020956475,0.21440085975282105,0.09349811929070392
14000US17031430900,0.5178571428571429,0.33214285714285713,0.15,,,,0.5024570024570024,0.34275184275184273,0.1547911547911548,1.0,0.0,0.0,,,,,,,0.5178571428571429,0.33214285714285713,0.15
14000US17031610300,0.6313744536182613,0.29528897523069453,0.0733365711510442,0.6077844311377245,0.31137724550898205,0.08083832335329341,0.4220532319391635,0.5171102661596958,0.060836501901140684,0.6941489361702128,0.23404255319148937,0.07180851063829788,0.49038461538461536,0.5096153846153846,0.0,0.6586682663467307,0.26034793041391724,0.08098380323935213,0.5153061224489796,0.44387755102040816,0.04081632653061224
14000US17031681000,0.7448770491803278,0.23565573770491804,0.0194672131147541,0.0,1.0,0.0,0.7604602510460251,0.2196652719665272,0.0198744769874477,0.0,1.0,0.0,,,,0.0,1.0,0.0,0.754149377593361,0.22614107883817428,0.01970954356846473
14000US17031681100,0.7294117647058823,0.24313725490196078,0.027450980392156862,,,,0.7294117647058823,0.24313725490196078,0.027450980392156862,,,,,,,,,,0.7294117647058823,0.24313725490196078,0.027450980392156862
14000US17031680500,0.6327345309381237,0.19161676646706588,0.17564870259481039,0.21875,0.421875,0.359375,0.6824644549763034,0.16350710900473933,0.15402843601895735,1.0,0.0,0.0,0.34146341463414637,0.6585365853658537,0.0,0.39473684210526316,0.0,0.6052631578947368,0.652267818574514,0.20734341252699784,0.14038876889848811
14000US17031680900,0.7627883650952858,0.22567703109327983,0.011534603811434303,1.0,0.0,0.0,0.8260381593714927,0.1610549943883277,0.012906846240179574,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7615927419354839,0.22681451612903225,0.011592741935483871
14000US17031720100,0.0924908424908425,0.152014652014652,0.7554945054945055,0.11468531468531469,0.11608391608391608,0.7692307692307693,0.059375,0.19375,0.746875,0.0,0.3684210526315789,0.631578947368421,0.10666666666666667,0.09777777777777778,0.7955555555555556,0.25,0.425,0.325,0.08650190114068441,0.14163498098859315,0.7718631178707225
14000US17031720200,0.23172242874845106,0.30049566294919455,0.4677819083023544,0.1702127659574468,0.1717325227963526,0.6580547112462006,0.27586206896551724,0.39377085650723026,0.3303670745272525,0.24561403508771928,0.3157894736842105,0.43859649122807015,0.1763779527559055,0.17795275590551182,0.6456692913385826,0.0,0.390625,0.609375,0.24129032258064517,0.2967741935483871,0.4619354838709677
14000US17031720300,0.12724850099933377,0.24716855429713525,0.6255829447035309,0.09117361784675072,0.33074684772065954,0.5780795344325897,0.16707616707616707,0.07371007371007371,0.7592137592137592,0.4603174603174603,0.0,0.5396825396825397,0.08961303462321792,0.3360488798370672,0.5743380855397149,0.27848101265822783,0.13924050632911392,0.5822784810126582,0.11884669479606189,0.25316455696202533,0.6279887482419128
14000US17031720400,0.12426900584795321,0.33187134502923976,0.543859649122807,0.09586776859504133,0.31735537190082647,0.5867768595041323,0.75,0.05555555555555555,0.19444444444444445,0.0,0.7674418604651163,0.23255813953488372,0.09682804674457429,0.32053422370617696,0.5826377295492488,0.0,0.6888888888888889,0.3111111111111111,0.13302034428794993,0.30672926447574334,0.5602503912363067
14000US17031720500,0.1662087912087912,0.2857142857142857,0.5480769230769231,0.17114568599717114,0.28005657708628007,0.5487977369165488,0.0,0.4166666666666667,0.5833333333333334,0.0,0.5555555555555556,0.4444444444444444,0.18501529051987767,0.30275229357798167,0.5122324159021406,0.0,0.08620689655172414,0.9137931034482759,0.18059701492537314,0.3029850746268657,0.5164179104477612
14000US17031720600,0.14263074484944532,0.22820919175911253,0.6291600633914421,0.09322033898305085,0.2966101694915254,0.6101694915254238,0.2893081761006289,0.025157232704402517,0.6855345911949685,,,,0.09322033898305085,0.2966101694915254,0.6101694915254238,,,,0.14263074484944532,0.22820919175911253,0.6291600633914421
14000US17031720700,0.22696245733788395,0.31143344709897613,0.4616040955631399,0.13314447592067988,0.3002832861189802,0.56657223796034,0.35436893203883496,0.2912621359223301,0.35436893203883496,0.0,0.39303482587064675,0.6069651741293532,0.13314447592067988,0.3002832861189802,0.56657223796034,0.0,0.0,1.0,0.2293103448275862,0.3146551724137931,0.4560344827586207
14000US17031040600,0.2011173184357542,0.39265762170790103,0.4062250598563448,0.16842105263157894,0.38086124401913873,0.4507177033492823,0.0,0.8676470588235294,0.1323529411764706,0.5428571428571428,0.25,0.20714285714285716,0.17547357926221335,0.3968095712861416,0.42771684945164506,0.4357142857142857,0.17857142857142858,0.38571428571428573,0.17160826594788858,0.4195867026055705,0.4088050314465409
14000US17031040700,0.22053462940461727,0.25880923450789795,0.5206561360874848,0.16485225505443235,0.2931570762052877,0.5419906687402799,0.36065573770491804,0.3360655737704918,0.30327868852459017,0.4495798319327731,0.03361344537815126,0.5168067226890757,0.1319672131147541,0.2967213114754098,0.5713114754098361,0.7052631578947368,0.15789473684210525,0.1368421052631579,0.19084461637653127,0.26499032882011603,0.5441650548033526
14000US17031040800,0.21910828025477708,0.2980891719745223,0.48280254777070064,0.21242774566473988,0.3020231213872832,0.48554913294797686,,,,0.26881720430107525,0.26881720430107525,0.46236559139784944,0.18935837245696402,0.323943661971831,0.486697965571205,0.4878048780487805,0.0975609756097561,0.4146341463414634,0.18776671408250356,0.32147937411095306,0.4907539118065434
14000US17031380100,0.5734388742304309,0.16094986807387862,0.26561125769569044,0.0,0.42,0.58,0.5884578997161779,0.1532639545884579,0.2582781456953642,1.0,0.0,0.0,0.0,0.30952380952380953,0.6904761904761905,0.5789473684210527,0.42105263157894735,0.0,0.5733452593917711,0.15652951699463327,0.2701252236135957
14000US17031380200,0.734412955465587,0.16923076923076924,0.09635627530364373,1.0,0.0,0.0,0.7384481255448997,0.16826503923278116,0.09328683522231909,0.6216216216216216,0.21621621621621623,0.16216216216216217,1.0,0.0,0.0,1.0,0.0,0.0,0.7322448979591837,0.17061224489795918,0.09714285714285714
14000US17031431200,0.2905153099327857,0.43091859596713966,0.27856609410007466,1.0,0.0,0.0,0.275808936825886,0.4445300462249615,0.2796610169491525,0.6875,0.0,0.3125,1.0,0.0,0.0,1.0,0.0,0.0,0.28463855421686746,0.43448795180722893,0.2808734939759036
14000US17031431400,0.5540500736377025,0.3784977908689249,0.0674521354933726,0.2549019607843137,0.2222222222222222,0.5228758169934641,0.5913943707538014,0.38304755742478164,0.025558071821417016,0.09271523178807947,0.44370860927152317,0.46357615894039733,0.2549019607843137,0.2222222222222222,0.5228758169934641,0.3888888888888889,0.6111111111111112,0.0,0.5558201845787437,0.3760047633224174,0.06817505209883894
14000US17031050100,0.16027280477408354,0.19011082693947143,0.649616368286445,0.1364503816793893,0.19083969465648856,0.6727099236641222,0.0,0.0,1.0,0.47368421052631576,0.24210526315789474,0.28421052631578947,0.1364503816793893,0.19083969465648856,0.6727099236641222,0.8717948717948718,0.1282051282051282,0.0,0.13580246913580246,0.19223985890652556,0.671957671957672
14000US17031610800,0.2323943661971831,0.4595070422535211,0.30809859154929575,0.25630252100840334,0.42016806722689076,0.3235294117647059,,,,0.10869565217391304,0.6630434782608695,0.22826086956521738,0.25902335456475584,0.42462845010615713,0.31634819532908703,0.14925373134328357,0.7164179104477612,0.13432835820895522,0.2435129740518962,0.4251497005988024,0.3313373253493014
