GEOID_Data,less_high_school,high_school,college,bachelor_higher,white_less_high_school,white_high_school,white_college,white_bachelor_higher,black_less_high_school,black_high_school,black_college,black_bachelor_higher,other_less_high_school,other_high_school,other_college,other_bachelor_higher,nhisp_white_less_high_school,nhisp_white_high_school,nhisp_white_college,nhisp_white_bachelor_higher,hisp_less_high_school,hisp_high_school,hisp_college,hisp_bachelor_higher,nhisp_less_high_school,nhisp_high_school,nhisp_college,nhisp_bachelor_higher
14000US17031240700,0.09049773755656108,0.1568627450980392,0.11613876319758673,0.6365007541478129,0.08586387434554973,0.11727748691099477,0.09424083769633508,0.7026178010471205,0.0,0.15789473684210525,0.3508771929824561,0.49122807017543857,0.14785992217898833,0.3035019455252918,0.0933852140077821,0.45525291828793774,0.009404388714733543,0.009404388714733543,0.045454545454545456,0.9357366771159875,0.2205029013539652,0.390715667311412,0.15667311411992263,0.23210831721470018,0.007416563658838072,0.007416563658838072,0.09023485784919653,0.8949320148331273
14000US17031240900,0.08914285714285715,0.16685714285714287,0.14971428571428572,0.5942857142857143,0.08227848101265822,0.20042194092827004,0.11814345991561181,0.5991561181434599,0.1504424778761062,0.10619469026548672,0.3008849557522124,0.4424778761061947,0.0763888888888889,0.13541666666666666,0.1423611111111111,0.6458333333333334,0.0,0.0,0.16816816816816818,0.8318318318318318,0.2527075812274368,0.5090252707581228,0.09747292418772563,0.1407942238267148,0.013377926421404682,0.008361204013377926,0.17391304347826086,0.8043478260869565
14000US17031242600,0.10553129548762737,0.17370208636584183,0.18461911693352742,0.5361475012130034,0.08669150016931934,0.13376227565187945,0.1676261429055198,0.6119200812732815,0.0744920993227991,0.3611738148984199,0.22799097065462753,0.3363431151241535,0.20110192837465565,0.22176308539944903,0.22727272727272727,0.349862258953168,0.025053995680345574,0.06609071274298056,0.1861771058315335,0.7226781857451404,0.26875,0.35390625,0.175,0.20234375,0.03201970443349754,0.09254046446164672,0.18895144264602393,0.6864883884588318
14000US17031310600,0.20954045954045955,0.26173826173826176,0.11413586413586413,0.4145854145854146,0.062072892938496584,0.27505694760820043,0.08656036446469248,0.5763097949886105,0.26229508196721313,0.3770491803278688,0.0,0.36065573770491804,0.3302663438256659,0.24019370460048425,0.14769975786924938,0.2818401937046005,0.0,0.17734855136084285,0.09833187006145742,0.7243195785776997,0.3218790778599391,0.3379730317529361,0.15006524575902566,0.19008264462809918,0.05806451612903226,0.15894428152492668,0.0656891495601173,0.7173020527859237
14000US17031310700,0.30288909599254427,0.15563839701770738,0.13886300093196646,0.4026095060577819,0.23076923076923078,0.11662531017369727,0.21588089330024815,0.43672456575682383,0.5272727272727272,0.0,0.12727272727272726,0.34545454545454546,0.3300813008130081,0.1951219512195122,0.08943089430894309,0.3853658536585366,0.03125,0.08482142857142858,0.14285714285714285,0.7410714285714286,0.4868421052631579,0.24342105263157895,0.16282894736842105,0.1069078947368421,0.06236559139784946,0.04086021505376344,0.10752688172043011,0.789247311827957
14000US17031310800,0.2792022792022792,0.16081038303260525,0.18486862931307377,0.37511870845204176,0.2791718946047679,0.14617314930991218,0.21580928481806774,0.3588456712672522,0.0,0.95,0.0,0.05,0.2828478964401295,0.1656957928802589,0.1553398058252427,0.39611650485436894,0.07709750566893424,0.0,0.031746031746031744,0.891156462585034,0.3284584980237154,0.1932806324110672,0.22529644268774704,0.25296442687747034,0.08108108108108109,0.030206677265500796,0.022257551669316374,0.8664546899841018
14000US17031020602,0.108300395256917,0.12753623188405797,0.18840579710144928,0.5757575757575758,0.045318725099601595,0.10557768924302789,0.09063745019920319,0.7584661354581673,0.0038910505836575876,0.0,0.7003891050583657,0.29571984435797666,0.2084967320261438,0.17777777777777778,0.23071895424836603,0.38300653594771245,0.034501061571125265,0.0732484076433121,0.08917197452229299,0.8030785562632696,0.3138020833333333,0.31640625,0.2994791666666667,0.0703125,0.056161215725140406,0.07961678229269904,0.16022464486290056,0.70399735711926
14000US17031310900,0.27251254797756125,0.21375848833776204,0.16858576911721287,0.34514319456746384,0.17475728155339806,0.15459297983569828,0.15758028379387604,0.5130694548170276,0.0,0.0,0.0,1.0,0.3464052287581699,0.25992961287078936,0.18099547511312217,0.21266968325791855,0.052870090634441085,0.09969788519637462,0.16012084592145015,0.6873111782477341,0.3557692307692308,0.2636217948717949,0.18629807692307693,0.19431089743589744,0.03928170594837262,0.07407407407407407,0.11896745230078563,0.7676767676767676
14000US17031510100,0.23649754500818332,0.25245499181669395,0.3404255319148936,0.17062193126022912,0.2399708242159008,0.27425237053245805,0.2662290299051787,0.21954777534646244,0.27091633466135456,0.00398406374501992,0.549800796812749,0.1752988047808765,0.1978984238178634,0.4185639229422067,0.3345008756567426,0.04903677758318739,0.10451977401129943,0.288135593220339,0.07627118644067797,0.5310734463276836,0.2555205047318612,0.3217665615141956,0.3337539432176656,0.08895899053627761,0.20139697322467986,0.12456344586728754,0.35273573923166474,0.3213038416763679
14000US17031510200,0.14704803813714704,0.3193986065273194,0.26952695269526955,0.264026402640264,0.18608414239482202,0.37702265372168287,0.1634304207119741,0.27346278317152106,0.13197704747000522,0.27073552425665104,0.3281168492436098,0.26917057902973396,0.171875,0.6197916666666666,0.026041666666666668,0.18229166666666666,0.0,0.5776892430278885,0.17928286852589642,0.24302788844621515,0.2808349146110057,0.35294117647058826,0.1157495256166983,0.2504743833017078,0.115,0.31136363636363634,0.30636363636363634,0.2672727272727273
14000US17031561100,0.1423841059602649,0.32308420056764425,0.25473036896877954,0.27980132450331124,0.13287849252761533,0.3014944769330734,0.24463937621832357,0.32098765432098764,0.0,0.5185185185185185,0.48148148148148145,0.0,0.17186108637577915,0.377560106856634,0.2769367764915405,0.1736420302760463,0.13941908713692946,0.3033195020746888,0.2676348547717842,0.28962655601659754,0.15208690680388792,0.35506003430531735,0.23499142367066894,0.2578616352201258,0.1355385235982251,0.30052440500201694,0.26865671641791045,0.2952803549818475
14000US17031190701,0.30496054114994364,0.3269447576099211,0.1843291995490417,0.18376550169109357,0.35,0.31326530612244896,0.15,0.186734693877551,0.0,0.2916666666666667,0.7083333333333334,0.0,0.26541554959785524,0.34718498659517427,0.19571045576407506,0.19168900804289543,0.184,0.2826666666666667,0.12,0.41333333333333333,0.35403726708074534,0.3447204968944099,0.17624223602484473,0.125,0.1748971193415638,0.27983539094650206,0.205761316872428,0.3395061728395062
