GEOID_Data,ag1,ag2,ag3,ag4,ag5,white_ag1,white_ag2,white_ag3,white_ag4,white_ag5,black_ag1,black_ag2,black_ag3,black_ag4,black_ag5,other_ag1,other_ag2,other_ag3,other_ag4,other_ag5,nhisp_white_ag1,nhisp_white_ag2,nhisp_white_ag3,nhisp_white_ag4,nhisp_white_ag5,hisp_ag1,hisp_ag2,hisp_ag3,hisp_ag4,hisp_ag5,nhisp_ag1,nhisp_ag2,nhisp_ag3,nhisp_ag4,nhisp_ag5
14000US17031730202,0.20724543080939947,0.09040469973890339,0.2281331592689295,0.23988250652741513,0.23433420365535249,0.0,0.0,0.0,0.5,0.5,0.20147255689424365,0.0927041499330656,0.23393574297188754,0.2399598393574297,0.2319277108433735,0.825,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.5,0.5,0.7941176470588235,0.0,0.0,0.0,0.20588235294117646,0.20066006600660066,0.09141914191419141,0.2306930693069307,0.24257425742574257,0.23465346534653464
14000US17031835600,0.12171837708830549,0.12529832935560858,0.25894988066825775,0.13723150357995226,0.3568019093078759,0.4662576687116564,0.0,0.5337423312883436,0.0,0.0,0.03903903903903904,0.15765765765765766,0.19519519519519518,0.17267267267267267,0.43543543543543545,0.0,0.0,0.0,0.0,1.0,,,,,,0.4662576687116564,0.0,0.5337423312883436,0.0,0.0,0.03851851851851852,0.15555555555555556,0.1925925925925926,0.17037037037037037,0.44296296296296295
14000US17031840000,0.2288538996704504,0.03185646283412669,0.32112779201757596,0.2544855364335408,0.1636763090443061,0.12441314553990611,0.03990610328638498,0.3615023474178404,0.3568075117370892,0.11737089201877934,0.35,0.0,0.65,0.0,0.0,0.32030704815073274,0.02512212142358688,0.28053035589672015,0.16678297278436846,0.20725750174459176,0.1283471837488458,0.020313942751615882,0.3314866112650046,0.39058171745152354,0.12927054478301014,0.4112903225806452,0.0467741935483871,0.3564516129032258,0.1596774193548387,0.025806451612903226,0.1752723827569872,0.027475130270014213,0.31075319753671243,0.2823306489815253,0.20416864045476077
14000US17031836400,0.2832176818298638,0.060652788486250324,0.2665124646620406,0.26085839115908505,0.12875867386276021,0.12244897959183673,0.0,0.3945578231292517,0.3401360544217687,0.14285714285714285,0.29350726356359325,0.06996738808182627,0.26030240142306554,0.24132819448562112,0.13489475244589386,0.25336927223719674,0.0,0.2722371967654987,0.40700808625336926,0.0673854447439353,0.0,0.0,0.30392156862745096,0.49019607843137253,0.20588235294117646,0.27598566308243727,0.0,0.3046594982078853,0.41935483870967744,0.0,0.28377630121816166,0.06533776301218161,0.26356589147286824,0.24861572535991142,0.13870431893687707
14000US17031836100,0.334,0.0685,0.351,0.111,0.1355,0.25139664804469275,0.21787709497206703,0.39664804469273746,0.1340782122905028,0.0,0.3129411764705882,0.05764705882352941,0.35823529411764704,0.11647058823529412,0.15470588235294117,0.7520661157024794,0.0,0.18181818181818182,0.0,0.06611570247933884,0.7377049180327869,0.0,0.26229508196721313,0.0,0.0,0.0,0.3305084745762712,0.4661016949152542,0.2033898305084746,0.0,0.35494155154091395,0.052072263549415514,0.34378320935175344,0.10520722635494155,0.14399574920297556
14000US17031834600,0.22684310018903592,0.02520478890989288,0.17013232514177692,0.42028985507246375,0.1575299306868305,0.5511111111111111,0.0,0.2222222222222222,0.1688888888888889,0.057777777777777775,0.1779788838612368,0.030165912518853696,0.14479638009049775,0.4683257918552036,0.17873303167420815,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,1.0,0.0,0.7192513368983957,0.0,0.20855614973262032,0.0374331550802139,0.034759358288770054,0.07502061005770816,0.03297609233305853,0.15828524319868095,0.5383347073371806,0.1953833470733718
14000US17031843600,0.2565872020075282,0.06744040150564617,0.3641781681304893,0.23306148055207027,0.07873274780426599,0.0,0.0,0.5899280575539568,0.34532374100719426,0.06474820143884892,0.2659113628790403,0.0716427857380873,0.3502165944685105,0.2315894701766078,0.08063978673775409,0.4166666666666667,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.45714285714285713,0.45714285714285713,0.08571428571428572,0.47560975609756095,0.0,0.524390243902439,0.0,0.0,0.2447089947089947,0.0710978835978836,0.35548941798941797,0.2457010582010582,0.08300264550264551
14000US17031061902,0.06595829991980753,0.10645549318364074,0.4220128307939054,0.2508019246190858,0.15477145148356056,0.05610062893081761,0.13358490566037737,0.3718238993710692,0.2611320754716981,0.17735849056603772,0.0,0.0,0.7357357357357357,0.26426426426426425,0.0,0.15588235294117647,0.0,0.5617647058823529,0.18382352941176472,0.09852941176470588,0.05862250262881178,0.12145110410094637,0.37486855941114616,0.2699789695057834,0.1750788643533123,0.0,0.24731182795698925,0.3942652329749104,0.21863799283154123,0.13978494623655913,0.06986621363346783,0.09811000212359312,0.4236568273518794,0.2527075812274368,0.15565937566362284
14000US17031030102,0.07562758182395933,0.09310454401016842,0.3546234509056244,0.2780425802351446,0.19860184302510328,0.03818953323903819,0.0891089108910891,0.4016973125884017,0.28995756718529,0.18104667609618105,0.0,0.08695652173913043,0.4782608695652174,0.36613272311212813,0.06864988558352403,0.1419753086419753,0.09953703703703703,0.26157407407407407,0.2353395061728395,0.26157407407407407,0.029045643153526972,0.05560165975103734,0.4190871369294606,0.29128630705394193,0.2049792531120332,0.09247311827956989,0.20430107526881722,0.2709677419354839,0.3935483870967742,0.03870967741935484,0.07270693512304251,0.0738255033557047,0.3691275167785235,0.25801640566741235,0.22632363907531694
14000US17031030103,0.05368035786905246,0.4139894265961773,0.3212688084587231,0.12810085400569338,0.0829605530703538,0.011904761904761904,0.5171130952380952,0.23363095238095238,0.15476190476190477,0.08258928571428571,0.16091954022988506,0.20689655172413793,0.4521072796934866,0.05747126436781609,0.12260536398467432,0.05396290050590219,0.3625632377740304,0.40472175379426645,0.12984822934232715,0.048903878583473864,0.012976480129764802,0.5012165450121655,0.22708840227088403,0.16869424168694241,0.09002433090024331,0.0,0.5481727574750831,0.31893687707641194,0.10631229235880399,0.026578073089700997,0.061167747914735865,0.39527340129749766,0.3215940685820204,0.13113994439295645,0.09082483781278962
